경우의 수,게임 기록,총보상,결과
183,일반 공격(성공: 1.00) / 일반 공격(성공: -0.75) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.25,승리
184,일반 공격(성공: 1.25) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.25,승리
185,일반 공격(성공: 1.24) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.26,승리
186,일반 공격(성공: 1.23) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.27,승리
187,일반 공격(성공: 1.20) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.3,승리
188,일반 공격(성공: 1.00) / 일반 공격(성공: -0.81) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.31,승리
189,일반 공격(성공: 1.19) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.31,승리
190,일반 공격(성공: 1.17) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.33,승리
191,일반 공격(성공: 1.14) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.36,승리
192,일반 공격(성공: 1.00) / 일반 공격(성공: -0.87) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.37,승리
193,일반 공격(성공: 1.00) / 일반 공격(성공: -0.90) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.4,승리
194,일반 공격(성공: 1.09) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.41,승리
195,일반 공격(성공: 1.06) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.44,승리
196,일반 공격(성공: 1.05) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.45,승리
197,일반 공격(성공: 1.04) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.46,승리
198,일반 공격(성공: 1.02) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.48,승리
199,일반 공격(성공: 1.00) / 일반 공격(성공: -0.99) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.49,승리
200,일반 공격(성공: 1.01) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.49,승리
201,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.5,승리
